Time_metric,Duration_years_min,Duration_years_max,Time_type,Start_date,End_date,Context,Geography,Source_title,Source_URL,Source_location,Source_year,Scope,Record_ID,Use_category,Date_precision,Duration_derivation,Verification_level,Traceback,Selection_status
monitoring after alum treatment,11.0,11.0,monitoring_interval,2005,2016-09,"Internal phosphorus loading analysis was conducted in September 2016, about 11 years following alum treatment.","Spring Lake, Michigan, USA",Internal Phosphorus Loading in Spring Lake 11 Years Following Alum Treatment,https://springlaketwp.org/wp-content/uploads/delightful-downloads/2017/10/spring_lake_report_jan_2017_final_draft.pdf,"Search/PDF snippet reports September 2016, ~11 years after alum treatment.",2005,monitoring/follow-up interval,TIME_SPRING_LAKE_ALUM_11Y_FOLLOWUP,Monitoring_follow_up_interval,As retained in baseline row; do not infer a more precise date.,Baseline selected value retained verbatim; see Context and Source_location.,Inherited_selected_record: selected_timing.csv retained verbatim; v5 did not re-read the underlying source.,02_精选公开数据/quality_selected/selected_timing.csv; Record_ID=TIME_SPRING_LAKE_ALUM_11Y_FOLLOWUP,retained_baseline
time to 50% phosphorus decline,13.1,13.1,ecological_lag,,,"Mean modelled lag to 50% decline in water-column phosphorus: 13.1 years; ecological response lag, not construction time.",Continental United States lentic water bodies,Modeling lake recovery lag times following influent phosphorus loading reduction,https://pmc.ncbi.nlm.nih.gov/articles/PMC10116841/ ; https://assessments.epa.gov/risk/document/%26deid%3D357221,Abstract/search snippet reports 13.1 and 39.0 year means.,,ecological response lag; not construction duration,TIME_LAKE_P_RECOVERY_50_PERCENT,Ecological_response_lag,As retained in baseline row; do not infer a more precise date.,Baseline selected value retained verbatim; see Context and Source_location.,Inherited_selected_record: selected_timing.csv retained verbatim; v5 did not re-read the underlying source.,02_精选公开数据/quality_selected/selected_timing.csv; Record_ID=TIME_LAKE_P_RECOVERY_50_PERCENT,retained_baseline
time to 75% phosphorus decline,39.0,39.0,ecological_lag,,,"Mean modelled lag to 75% decline in water-column phosphorus: 39 years; ecological response lag, not construction time.",Continental United States lentic water bodies,Modeling lake recovery lag times following influent phosphorus loading reduction,https://pmc.ncbi.nlm.nih.gov/articles/PMC10116841/ ; https://assessments.epa.gov/risk/document/%26deid%3D357221,Abstract/search snippet reports 13.1 and 39.0 year means.,,ecological response lag; not construction duration,TIME_LAKE_P_RECOVERY_75_PERCENT,Ecological_response_lag,As retained in baseline row; do not infer a more precise date.,Baseline selected value retained verbatim; see Context and Source_location.,Inherited_selected_record: selected_timing.csv retained verbatim; v5 did not re-read the underlying source.,02_精选公开数据/quality_selected/selected_timing.csv; Record_ID=TIME_LAKE_P_RECOVERY_75_PERCENT,retained_baseline
old float service life,3.0,3.0,service_life,,,"Old aquaculture floats had an expected service life of about 3 years; service-life evidence, not implementation duration.","Hiroshima Bay, Japan",Cleaning Up Aquaculture: Joint Project Takes on Plastic Waste from Oyster Farming in Hiroshima Bay,https://www.nippon.com/en/news/g02531/ ; https://en.nippon-foundation.or.jp/news/articles/2025/20250707-109044.html,Strict workbook row 57.,,service-life comparison; not implementation duration,TIME_HIROSHIMA_FLOAT_OLD_LIFE,Service_life,As retained in baseline row; do not infer a more precise date.,Baseline selected value retained verbatim; see Context and Source_location.,Inherited_selected_record: selected_timing.csv retained verbatim; v5 did not re-read the underlying source.,02_精选公开数据/quality_selected/selected_timing.csv; Record_ID=TIME_HIROSHIMA_FLOAT_OLD_LIFE,retained_baseline
reinforced float service life,5.0,8.0,service_life,,,"Reinforced floats have an expected service life of 5-8 years; service-life evidence, not implementation duration.","Hiroshima Bay, Japan",Cleaning Up Aquaculture: Joint Project Takes on Plastic Waste from Oyster Farming in Hiroshima Bay,https://www.nippon.com/en/news/g02531/ ; https://en.nippon-foundation.or.jp/news/articles/2025/20250707-109044.html,Strict workbook row 57.,,service-life comparison; not implementation duration,TIME_HIROSHIMA_FLOAT_REINFORCED_LIFE,Service_life,As retained in baseline row; do not infer a more precise date.,Baseline selected value retained verbatim; see Context and Source_location.,Inherited_selected_record: selected_timing.csv retained verbatim; v5 did not re-read the underlying source.,02_精选公开数据/quality_selected/selected_timing.csv; Record_ID=TIME_HIROSHIMA_FLOAT_REINFORCED_LIFE,retained_baseline
Lake transparency change between the 1964 and 1968 observations,4.0,4.0,ecological_response,1964,1968,Transparency increased from 30 inches in 1964 to 10 feet in 1968; approximate four-year observation interval.,"Lake Washington, USA",Cleaning up Lake Washington,https://www.eopugetsound.org/articles/cleaning-lake-washington,Lines 39-41.,1964,Observed interval spanning wastewater-diversion works; not an independently estimated post-diversion recovery constant.,TIME_LAKE_WASHINGTON_VISIBILITY_1964_1968,Ecological_response_interval,As retained in baseline row; do not infer a more precise date.,Baseline selected value retained verbatim; see Context and Source_location.,Inherited_selected_record: selected_timing.csv retained verbatim; v5 did not re-read the underlying source.,02_精选公开数据/quality_selected/selected_timing.csv; Record_ID=TIME_LAKE_WASHINGTON_VISIBILITY_1964_1968,retained_baseline
livelihood-transition subsidy eligibility,2.0,2.0,support_duration,,,"The compensation policy provides livelihood-transition subsidy for 24 months for each of two eligible persons per aquaculture-use certificate. This is support eligibility, not engineering duration.","Taihu waters within Suzhou administrative area, China",Announcement on compensation for removal of net enclosures in Lake Taihu (Su Fu Gong [2018] No. 4) [translated title],https://www.suzhou.gov.cn/szsrmzf/zfwj/201805/LQJZ9KC3GM25LQRTJA6R74K02KZKWB9M.shtml,"Prior evidence index: full_database_all_records.csv, R63_TAIHU_2018_TRANSFER_SUBSIDY_REWARD; lines 96-102.",2018,Case-specific livelihood-support duration; must not be plotted as removal/construction time.,TIME_V5_TAIHU_LIVELIHOOD_SUPPORT_24M,Support_duration,Duration reported as 24 months; no start/end date supplied.,24 months / 12 months per year = 2 years.,Inherited_extraction_traceable: v5 checked the structured evidence index and source URL; underlying government page was not re-read in v5.,02_精选公开数据/implementation_and_costs/full_database_all_records.csv; canonical_record_id=R63_TAIHU_2018_TRANSFER_SUBSIDY_REWARD,added_traceable
first compensation payment deadline after agreement signing,0.041,0.041,payment_deadline,,,"First payment is due within 15 days after agreement signing. It is an administrative payment deadline, not a project duration.","Taihu waters within Suzhou administrative area, China",Announcement on compensation for removal of net enclosures in Lake Taihu (Su Fu Gong [2018] No. 4) [translated title],https://www.suzhou.gov.cn/szsrmzf/zfwj/201805/LQJZ9KC3GM25LQRTJA6R74K02KZKWB9M.shtml,"Prior evidence index: full_database_all_records.csv, R63_TAIHU_2018_REMOVAL_TIMELINE; lines 104-116.",2018,Case-specific policy payment deadline; 15 days is converted using 365 days/year only for a numeric time field.,TIME_V5_TAIHU_FIRST_PAYMENT_15D,Policy_node,15-day deadline reported; triggering signing date varies by agreement.,15 / 365 = 0.041 years (rounded to three decimals).,Inherited_extraction_traceable: v5 checked the structured evidence index and source URL; underlying government page was not re-read in v5.,02_精选公开数据/implementation_and_costs/full_database_all_records.csv; canonical_record_id=R63_TAIHU_2018_REMOVAL_TIMELINE,added_traceable
remaining compensation payment deadline after facility transfer,0.041,0.041,payment_deadline,,,"The remaining balance is due within 15 days after facility transfer. It is an administrative payment deadline, not a project duration.","Taihu waters within Suzhou administrative area, China",Announcement on compensation for removal of net enclosures in Lake Taihu (Su Fu Gong [2018] No. 4) [translated title],https://www.suzhou.gov.cn/szsrmzf/zfwj/201805/LQJZ9KC3GM25LQRTJA6R74K02KZKWB9M.shtml,"Prior evidence index: full_database_all_records.csv, R63_TAIHU_2018_REMOVAL_TIMELINE; lines 104-116.",2018,Case-specific policy payment deadline; 15 days is converted using 365 days/year only for a numeric time field.,TIME_V5_TAIHU_BALANCE_PAYMENT_15D,Policy_node,15-day deadline reported; triggering transfer date varies by case.,15 / 365 = 0.041 years (rounded to three decimals).,Inherited_extraction_traceable: v5 checked the structured evidence index and source URL; underlying government page was not re-read in v5.,02_精选公开数据/implementation_and_costs/full_database_all_records.csv; canonical_record_id=R63_TAIHU_2018_REMOVAL_TIMELINE,added_traceable
aluminum-treatment assessment horizon,12.0,12.0,assessment_horizon,,,"The Swedish decision-support case reports treatment costs over 12 years. This is the study's economic assessment horizon, not treatment construction duration or observed ecological response time.","Stora and Lilla Ullfjärden, Sweden",Decision Support for Lake Restoration: A Case Study in Swedish Freshwater Bodies,https://pub.epsilon.slu.se/30637/1/sellergren-m-et-al-20230412.pdf ; DOI: 10.3390/w15040668,"Prior evidence index: full_database_all_records.csv, R63_LAKE_SWEDEN_ALUMINUM_TREATMENT_DECISION_CASE; Table 6 / lines 440-450 and lines 502-503.",2023,Assessment horizon of a named Swedish restoration decision-support case; do not label as project implementation time.,TIME_V5_SWEDEN_ALUM_ASSESSMENT_12Y,Assessment_horizon,Reported as 12 years; no start/end dates used.,Directly reported 12-year assessment horizon.,Inherited_extraction_traceable: v5 checked the structured evidence index and DOI/URL; underlying paper was not re-read in v5.,02_精选公开数据/implementation_and_costs/full_database_all_records.csv; canonical_record_id=R63_LAKE_SWEDEN_ALUMINUM_TREATMENT_DECISION_CASE,added_traceable
later Lake Washington transparency observation interval,8.0,8.0,ecological_response,1968,1976,The source reports visibility of 10 feet in 1968 and 17-20 feet after 1976. This is an approximate eight-calendar-year observation interval and not an independently estimated recovery constant.,"Lake Washington, USA",Cleaning up Lake Washington,https://www.eopugetsound.org/articles/cleaning-lake-washington,"Prior evidence index: time_evidence_expanded.csv, TIME_LAKE_WASHINGTON_VISIBILITY_RESPONSE; source lines 39-41.",,Observed response trajectory; year-only endpoints preserve the source precision.,TIME_V5_LAKE_WASHINGTON_VISIBILITY_1968_1976,Ecological_response_interval,Year-only endpoints; 'after 1976' means this is approximate.,1976 minus 1968 = approximately 8 calendar years.,Inherited_extraction_traceable: v5 checked the prior time-evidence record and source URL; underlying article was not re-read in v5.,02_精选公开数据/implementation_and_costs/time_evidence_expanded.csv; time_record_id=TIME_LAKE_WASHINGTON_VISIBILITY_RESPONSE,added_traceable
